"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"ING";"0693C26073208";"01/07/2026";"520,15";"520,15";"520,15";"INTEGREE"
"ING";"0693C26073213";"01/07/2026";"1791,61";"1791,61";"1791,61";"INTEGREE"
"ING";"0693C26073206";"01/07/2026";"838,01";"838,01";"838,01";"INTEGREE"
"ING";"0539M26070233";"01/07/2026";"3066,55";"3066,55";"3066,55";"INTEGREE"
"ING";"0539S26070234";"01/07/2026";"6340,78";"6340,78";"6340,78";"INTEGREE"
"ING";"0102M26070602";"01/07/2026";"4836,78";"4836,78";"4836,78";"INTEGREE"
"ING";"0102M26070592";"01/07/2026";"5717,48";"5717,48";"5717,48";"INTEGREE"
"ING";"0378S26070716";"01/07/2026";"0,23";"0,23";"0,23";"INTEGREE"
"ING";"0001M2607VWL3";"01/07/2026";"18121,97";"18121,97";"18121,97";"INTEGREE"
"ING";"0001S2607XKA3";"01/07/2026";"20914,28";"20914,28";"20914,28";"INTEGREE"
"ING";"0361M26078845";"01/07/2026";"30449,87";"30449,87";"30449,87";"INTEGREE"
"ING";"0361M26078844";"01/07/2026";"3616,95";"3616,95";"3616,95";"INTEGREE"
"ING";"0693C26073182";"01/07/2026";"10175,48";"10175,48";"10175,48";"INTEGREE"
"GAZ";"0688K2607WWW7";"01/07/2026";"242,18";"242,18";"242,18";"INTEGREE"
"ING";"0105S26073542";"01/07/2026";"18403,35";"18403,35";"18403,35";"INTEGREE"
"ING";"0001M2607VWK5";"01/07/2026";"7384,6";"7384,6";"7384,6";"INTEGREE"
"ING";"0001E2607VWR6";"01/07/2026";"7965,17";"7965,17";"7965,17";"INTEGREE"
"ING";"0001M2607VWK6";"01/07/2026";"36623,77";"36623,77";"36623,77";"INTEGREE"
"ING";"0001M2607VWK7";"01/07/2026";"1718,65";"1718,65";"1718,65";"INTEGREE"
"ING";"0001M2607VWK8";"01/07/2026";"13539,36";"13539,36";"13539,36";"INTEGREE"
"ING";"0001M2607VWL0";"01/07/2026";"10074,17";"10074,17";"10074,17";"INTEGREE"
"ING";"0001M2607VWL1";"01/07/2026";"10945,12";"10945,12";"10945,12";"INTEGREE"
"ING";"0158E26071051";"01/07/2026";"2669,97";"2669,97";"2669,97";"INTEGREE"
"ING";"0102M26070608";"01/07/2026";"734,7";"734,7";"734,7";"INTEGREE"
"GAZ";"0688K2607WXT0";"01/07/2026";"355,74";"355,74";"355,74";"INTEGREE"
"GAZ";"0688K2607WXX5";"01/07/2026";"207,96";"207,96";"207,96";"INTEGREE"
"ING";"0551R26071477";"01/07/2026";"11035,7";"11035,7";"11035,7";"INTEGREE"
"ING";"0551R26071444";"01/07/2026";"1847,47";"1847,47";"1847,47";"INTEGREE"
"ING";"0551R26071504";"01/07/2026";"988,8";"988,8";"988,8";"INTEGREE"
"ING";"0551R26071505";"01/07/2026";"772,5";"772,5";"772,5";"INTEGREE"
"ING";"0551R26071479";"01/07/2026";"2210,28";"2210,28";"2210,28";"INTEGREE"
"ING";"0551R26071481";"01/07/2026";"980,46";"980,46";"980,46";"INTEGREE"
"ING";"0551R26071482";"01/07/2026";"1481,35";"1481,35";"1481,35";"INTEGREE"
"ING";"0551R26071483";"01/07/2026";"1117,34";"1117,34";"1117,34";"INTEGREE"
"ING";"0551R26071484";"01/07/2026";"1252,99";"1252,99";"1252,99";"INTEGREE"
"ING";"0551R26071485";"01/07/2026";"600,7";"600,7";"600,7";"INTEGREE"
"ING";"0551R26071486";"01/07/2026";"264,5";"264,5";"264,5";"INTEGREE"
"ING";"0551R26071380";"01/07/2026";"317,65";"317,65";"317,65";"INTEGREE"
"ING";"0551R26071522";"01/07/2026";"10104,3";"10104,3";"10104,3";"INTEGREE"
"ING";"0551R26071378";"01/07/2026";"1034,02";"1034,02";"1034,02";"INTEGREE"
"ING";"0551R26071386";"01/07/2026";"1959,35";"1959,35";"1959,35";"INTEGREE"
